isDefective,CountLineCodeExe,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,productName,dataset
1,74,2,2,2,1,12,1,10,1,168,25,135,36,11,75,109,35,74,3,3,3,0.08,13,13,13,6,openintents,RELINK
0,15,1,1,1,1,11,2,8,0,64,19,41,20,4,26,31,16,15,2,2,2,0.1,5,5,5,4,openintents,RELINK
1,67,3,3,3,1,15,1,12,0,157,27,121,32,9,64,97,26,71,5,5,6,0.07,27,27,29,11,openintents,RELINK
1,7,1,1,1,1,3,0,3,0,35,7,28,14,0,13,17,10,7,1,1,1,0.0,6,6,6,6,openintents,RELINK
0,18,1,1,1,1,41,4,29,8,44,4,32,12,8,23,27,13,14,1,1,1,0.25,1,1,1,1,openintents,RELINK
0,22,7,7,7,1,50,10,38,2,63,11,41,14,11,25,31,13,18,7,7,7,0.27,7,7,7,1,openintents,RELINK
0,64,1,1,1,1,5,0,5,0,146,3,141,41,2,64,106,40,66,6,6,7,0.01,41,41,42,23,openintents,RELINK
0,85,7,7,11,1,21,3,17,0,180,31,129,34,20,69,117,27,90,19,19,31,0.16,47,47,71,6,openintents,RELINK
0,5,1,1,1,1,15,3,10,2,58,13,23,15,22,11,14,10,4,1,1,1,0.96,2,2,2,2,openintents,RELINK
1,907,12,11,14,4,82,5,61,7,2195,165,1185,191,328,719,916,178,738,51,51,56,0.28,221,197,246,81,Apache2.0,RELINK
0,0,0,0,0,0,0,0,0,0,644,1,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
1,1096,8,7,9,4,54,4,49,1,1945,209,1607,185,65,19001,1049,172,877,45,26,45,0.04,256,217,277,128,Apache2.0,RELINK
0,522,5,5,6,2,37,5,27,5,1159,171,727,137,236,397,526,112,414,25,25,30,0.32,134,122,146,63,Apache2.0,RELINK
0,26,2,2,2,1,21,1,9,3,166,15,55,13,40,20,30,10,20,4,5,4,0.73,9,10,9,10,Apache2.0,RELINK
0,0,1,1,1,1,3,0,3,0,266,1,3,1,17,0,1,1,0,1,1,1,5.67,1,1,1,1,Apache2.0,RELINK
0,2,1,1,1,1,4,0,4,0,29,3,5,2,15,2,3,2,1,1,1,1,3.0,1,1,1,1,Apache2.0,RELINK
0,60,2,2,2,1,17,3,14,0,171,30,113,39,17,71,84,30,54,3,3,4,0.15,13,13,14,9,Apache2.0,RELINK
0,78,3,3,3,1,19,0,14,5,290,24,160,45,98,85,114,34,80,8,8,11,0.61,29,29,33,18,Apache2.0,RELINK
0,105,2,2,3,1,13,1,12,1,290,38,198,52,42,97,135,42,93,7,7,7,0.21,38,38,43,29,Apache2.0,RELINK
1,122,5,5,7,3,44,4,31,9,311,35,185,34,89,94,124,28,96,15,14,24,0.48,30,28,39,19,Apache2.0,RELINK
1,245,6,6,11,1,47,4,35,9,575,60,381,65,135,179,243,50,193,23,23,61,0.35,70,70,124,21,Apache2.0,RELINK
0,20,5,5,5,1,58,4,36,18,110,7,36,8,51,23,28,8,20,5,5,5,1.42,5,5,5,1,Apache2.0,RELINK
1,0,0,0,0,0,0,0,0,0,1167,1,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
0,95,12,12,13,7,48,3,45,0,182,14,135,18,29,81,111,18,93,16,16,17,0.21,37,37,40,22,Apache2.0,RELINK
1,840,5,4,6,2,32,5,23,4,2045,365,1326,313,320,632,868,200,668,42,31,61,0.24,262,251,315,134,Apache2.0,RELINK
1,39,4,4,5,3,44,6,24,12,179,23,71,23,60,36,47,12,35,7,7,9,0.85,11,11,14,9,Apache2.0,RELINK
1,2037,5,5,6,3,36,5,26,4,4619,675,3010,684,625,1312,1828,420,1408,36,36,49,0.21,550,550,649,342,Apache2.0,RELINK
1,253,2,2,3,1,20,3,14,3,753,145,451,147,157,220,287,108,179,7,7,8,0.35,70,70,74,44,Apache2.0,RELINK
0,68,22,22,26,1,94,10,84,0,148,19,84,3,40,46,65,4,61,22,22,26,0.48,22,22,26,1,Apache2.0,RELINK
0,0,0,0,0,0,0,0,0,0,210,1,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
0,0,0,0,0,0,0,0,0,0,179,2,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
1,21,1,1,1,1,8,1,8,0,55,7,31,13,15,14,17,5,12,1,1,1,0.48,3,3,3,3,Apache2.0,RELINK
0,25,2,2,2,1,10,1,9,0,74,10,43,19,15,18,23,8,15,2,2,2,0.35,6,6,6,4,Apache2.0,RELINK
0,128,4,4,4,3,23,2,19,1,317,38,220,39,55,115,157,36,121,8,8,9,0.25,42,42,43,36,Apache2.0,RELINK
0,37,10,10,21,1,89,12,49,12,143,19,49,3,30,16,25,3,22,10,10,21,0.61,10,10,21,1,Apache2.0,RELINK
0,36,2,2,3,1,14,1,13,0,227,36,67,22,123,42,54,14,40,4,4,4,1.84,12,12,14,9,Apache2.0,RELINK
1,279,5,4,6,1,33,2,26,2,585,60,383,57,45,232,308,56,252,42,30,44,0.12,76,62,80,23,Apache2.0,RELINK
1,113,4,4,4,1,24,2,19,0,291,41,177,37,32,108,140,37,103,13,13,16,0.18,32,32,38,12,Apache2.0,RELINK
1,247,7,7,8,2,54,3,39,7,610,49,353,44,120,175,239,40,199,23,23,27,0.34,64,61,72,19,Apache2.0,RELINK
1,132,3,3,4,2,28,2,19,6,322,37,194,51,82,89,120,32,88,12,12,13,0.42,31,31,35,19,Apache2.0,RELINK
1,1468,8,6,10,4,57,6,40,10,3212,354,2064,348,709,901,1254,243,1011,63,37,75,0.34,377,317,509,231,Apache2.0,RELINK
1,206,4,4,6,2,43,5,26,12,548,73,290,38,169,166,215,35,180,12,12,22,0.58,49,49,62,26,Apache2.0,RELINK
0,160,12,11,14,8,93,15,72,1,336,56,224,27,23,111,149,27,122,26,23,26,0.1,37,34,41,26,Apache2.0,RELINK
0,828,5,5,6,2,39,3,29,6,1976,221,1253,264,381,624,881,280,601,29,29,30,0.3,201,188,223,102,Apache2.0,RELINK
0,3,1,1,1,1,13,1,9,0,70,6,27,18,26,4,7,4,3,1,1,1,0.96,3,3,3,3,Apache2.0,RELINK
1,159,4,4,5,3,40,4,22,4,494,63,251,46,55,126,172,43,129,9,9,13,0.22,47,47,55,33,Apache2.0,RELINK
0,40,2,2,3,1,13,2,10,1,140,25,85,26,25,45,64,20,44,6,6,7,0.29,19,19,20,15,Apache2.0,RELINK
1,588,5,5,5,3,41,5,31,4,1517,213,947,254,344,479,612,165,447,17,16,18,0.36,135,134,148,99,Apache2.0,RELINK
1,308,4,4,5,2,36,3,22,5,1084,99,503,113,148,212,291,77,214,21,21,29,0.29,82,82,100,47,Apache2.0,RELINK
1,158,9,9,9,3,47,5,40,0,400,47,218,38,81,141,187,34,153,16,16,16,0.37,46,46,47,15,Apache2.0,RELINK
1,249,8,6,8,4,100,16,53,5,683,106,317,34,59,194,242,33,209,40,25,41,0.19,48,33,49,24,Apache2.0,RELINK
0,140,6,5,7,4,4294967289,3,21,1,304,47,211,72,35,97,142,43,99,13,10,15,0.17,45,41,51,31,Apache2.0,RELINK
0,80,4,4,4,2,19,3,16,1,198,27,118,47,52,52,70,25,45,13,13,15,0.44,22,22,25,13,Apache2.0,RELINK
1,232,4,4,5,2,23,2,19,2,484,63,358,129,62,144,205,71,134,14,14,15,0.17,65,65,77,37,Apache2.0,RELINK
0,60,5,5,8,5,52,7,34,2,145,19,77,19,25,38,48,10,38,9,9,14,0.32,10,10,15,10,Apache2.0,RELINK
1,139,5,5,5,4,4294967253,3,23,2,315,41,215,67,61,96,134,41,93,16,16,16,0.28,37,37,40,34,Apache2.0,RELINK
0,85,3,3,5,2,24,2,16,2,238,26,126,58,68,46,61,25,36,11,11,19,0.54,17,17,26,11,Apache2.0,RELINK
0,137,4,4,4,3,23,3,20,0,293,38,200,80,50,91,121,40,81,12,12,13,0.25,31,31,34,25,Apache2.0,RELINK
1,853,6,6,8,3,39,5,30,3,2108,295,1310,258,357,572,790,188,602,32,32,60,0.27,235,235,321,126,Apache2.0,RELINK
1,548,9,9,10,5,65,7,49,6,1117,138,753,197,190,357,416,105,311,40,40,45,0.25,117,114,131,73,Apache2.0,RELINK
1,1114,12,12,15,4,65,4,54,6,2252,181,1671,274,324,747,1063,196,867,72,72,75,0.19,347,345,423,142,Apache2.0,RELINK
1,73,5,5,6,2,39,4,30,5,181,24,114,38,37,52,67,23,44,13,13,17,0.32,15,15,19,8,Apache2.0,RELINK
1,427,6,6,7,2,56,5,36,15,1006,102,608,123,293,279,359,69,290,50,50,70,0.48,90,90,114,35,Apache2.0,RELINK
1,50,2,2,2,1,16,2,12,2,137,22,81,43,26,39,47,24,23,3,3,3,0.32,8,8,8,5,Apache2.0,RELINK
1,58,3,3,3,2,18,3,14,1,160,29,98,51,25,46,59,26,33,8,8,9,0.26,13,13,14,10,Apache2.0,RELINK
1,114,4,4,4,2,25,4,18,3,372,49,173,59,137,92,116,38,78,10,10,14,0.79,28,28,34,18,Apache2.0,RELINK
1,477,6,6,8,3,47,6,34,5,1235,154,709,166,143,382,483,116,367,26,26,37,0.2,115,115,153,65,Apache2.0,RELINK
1,750,6,6,7,3,45,5,33,4,1744,232,1116,260,234,640,786,200,586,27,27,37,0.21,187,186,232,110,Apache2.0,RELINK
1,475,7,7,7,2,42,3,32,7,1082,97,704,170,287,295,407,108,299,26,26,29,0.41,135,130,148,56,Apache2.0,RELINK
1,2130,8,8,9,5,65,10,43,13,4834,768,3042,473,1080,1310,1862,405,1457,48,48,62,0.36,566,564,645,411,Apache2.0,RELINK
0,38,1,1,1,1,10,1,9,0,108,20,63,32,26,24,30,15,15,2,2,2,0.41,7,7,7,5,Apache2.0,RELINK
1,399,8,8,10,5,65,11,48,7,875,150,566,119,127,292,374,78,296,44,44,57,0.22,89,89,110,63,Apache2.0,RELINK
0,98,4,4,6,2,30,4,21,5,247,40,151,47,51,65,87,27,60,16,16,29,0.34,25,25,38,16,Apache2.0,RELINK
1,390,3,3,3,2,24,2,17,3,963,109,638,217,198,317,401,132,269,11,11,11,0.31,85,85,92,71,Apache2.0,RELINK
0,92,3,3,3,1,17,2,14,1,215,32,135,50,36,52,69,28,41,10,10,10,0.27,27,27,27,8,Apache2.0,RELINK
0,39,2,2,2,1,13,2,11,1,102,17,61,31,23,26,32,15,17,4,4,5,0.38,7,7,8,7,Apache2.0,RELINK
1,65,2,2,2,1,16,3,11,2,179,33,104,51,38,50,63,28,35,5,5,5,0.37,14,14,14,7,Apache2.0,RELINK
0,244,2,2,2,1,20,1,12,6,1313,98,385,105,773,340,270,79,191,12,12,13,2.01,52,52,53,33,Apache2.0,RELINK
1,186,5,5,5,2,34,2,26,6,566,43,285,70,229,129,175,46,129,15,15,17,0.8,46,45,52,29,Apache2.0,RELINK
1,403,6,6,7,3,40,4,30,4,890,94,603,141,92,281,370,106,264,20,20,24,0.15,108,108,123,67,Apache2.0,RELINK
1,108,3,3,3,2,27,3,15,3,416,51,176,55,107,86,112,36,76,9,9,9,0.61,26,26,27,23,Apache2.0,RELINK
1,250,4,3,4,2,19,2,16,1,620,76,402,124,146,196,270,83,187,19,19,21,0.36,77,70,83,47,Apache2.0,RELINK
0,392,7,7,9,4,37,5,28,8,897,133,598,102,223,257,385,73,312,56,56,64,0.37,141,141,182,83,Apache2.0,RELINK
1,2009,12,9,14,6,73,6,59,6,3751,366,2799,446,413,1365,1938,281,1657,135,57,145,0.15,567,431,647,283,Apache2.0,RELINK
1,274,6,6,7,2,36,2,32,0,533,45,397,95,59,185,250,56,194,30,30,35,0.15,67,67,73,32,Apache2.0,RELINK
1,873,13,11,16,6,97,10,70,19,1760,188,1186,203,380,589,783,143,640,81,62,96,0.32,206,183,262,104,Apache2.0,RELINK
1,561,3,3,3,1,19,2,15,1,1519,187,996,269,290,494,675,199,476,23,14,23,0.29,187,170,205,106,Apache2.0,RELINK
0,123,3,3,3,1,17,3,14,0,288,52,193,69,39,111,136,48,88,6,6,7,0.2,32,32,36,20,Apache2.0,RELINK
1,53,1,1,1,1,11,2,8,0,192,43,91,44,51,42,54,26,28,2,2,2,0.56,12,12,12,9,Apache2.0,RELINK
1,531,4,4,5,2,30,2,22,5,1198,120,829,213,235,389,535,148,387,20,20,22,0.28,146,146,152,75,Apache2.0,RELINK
1,525,8,8,11,3,45,4,39,3,987,99,766,191,126,314,441,100,341,36,36,54,0.16,133,133,179,60,Apache2.0,RELINK
0,1040,8,6,10,4,50,5,34,7,2477,257,1457,428,580,679,977,216,761,43,36,48,0.4,290,212,340,173,Apache2.0,RELINK
0,1104,8,8,11,4,57,7,35,13,3096,445,1674,316,971,823,1149,266,883,35,35,52,0.58,353,353,503,198,Apache2.0,RELINK
0,0,0,0,0,0,0,0,0,0,194,2,0,0,15,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
0,555,5,5,6,2,29,4,23,2,1151,190,834,187,108,460,621,149,472,61,56,68,0.13,163,158,184,79,Apache2.0,RELINK
0,14,1,1,1,1,6,1,5,0,48,6,20,12,18,4,6,3,3,1,1,1,0.9,2,2,2,2,Apache2.0,RELINK
0,16,1,1,1,1,6,0,5,0,55,7,26,15,18,7,10,4,6,2,2,2,0.69,4,4,4,3,Apache2.0,RELINK
0,12,1,1,1,1,6,1,5,0,44,5,20,15,15,3,5,3,2,1,1,1,0.75,1,1,1,1,Apache2.0,RELINK
0,15,1,1,1,1,6,1,6,0,45,5,21,12,15,4,6,3,3,1,1,1,0.71,2,2,2,2,Apache2.0,RELINK
1,603,4,4,5,2,27,3,21,3,1181,151,856,246,160,414,545,142,403,22,21,36,0.19,151,150,200,102,Apache2.0,RELINK
1,2017,8,8,10,4,54,5,40,9,4670,532,3060,443,973,1488,2046,366,1680,54,54,70,0.32,596,585,772,360,Apache2.0,RELINK
1,245,7,5,8,3,36,2,30,4,586,45,374,94,168,159,233,58,175,24,24,27,0.45,79,60,85,35,Apache2.0,RELINK
0,99,5,5,5,4,49,8,32,10,368,51,150,47,145,72,91,30,61,13,13,14,0.97,19,19,20,18,Apache2.0,RELINK
0,189,5,5,7,3,47,6,30,12,532,73,281,75,176,126,165,42,123,28,28,36,0.63,43,43,56,29,Apache2.0,RELINK
1,203,3,3,3,1,4294967275,5,15,3,428,69,245,29,82,75,90,22,68,8,8,11,0.33,19,19,22,11,Apache2.0,RELINK
1,441,16,13,18,2,111,13,83,3,857,105,540,74,90,269,376,62,314,79,57,90,0.17,97,75,108,13,Apache2.0,RELINK
1,47,2,2,2,1,9,1,8,0,138,18,76,32,38,26,36,15,21,3,3,3,0.5,11,11,12,7,Apache2.0,RELINK
0,91,3,3,4,2,52,5,28,17,367,37,140,49,176,92,105,30,75,7,7,8,1.26,13,13,14,10,Apache2.0,RELINK
1,101,5,5,8,4,49,4,26,12,366,38,153,49,121,73,98,33,65,15,15,28,0.79,25,25,40,21,Apache2.0,RELINK
1,185,4,4,5,3,29,4,22,4,454,65,282,85,108,118,162,48,114,13,13,14,0.38,47,47,52,33,Apache2.0,RELINK
0,136,12,11,18,9,71,11,56,4,312,45,186,36,82,80,116,20,96,20,17,37,0.44,35,32,53,28,Apache2.0,RELINK
1,216,8,8,9,3,48,3,42,5,457,41,331,70,88,160,218,38,180,25,25,26,0.27,58,58,61,27,Apache2.0,RELINK
0,0,0,0,0,0,0,0,0,0,553,1,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
0,16,0,0,0,0,0,0,0,0,48,5,21,21,19,7,7,7,0,0,0,0,0.9,0,0,0,0,Apache2.0,RELINK
0,50,0,0,0,0,0,0,0,0,99,5,72,72,19,24,24,24,0,0,0,0,0.26,0,0,0,0,Apache2.0,RELINK
1,196,5,4,5,2,33,4,24,3,1130,81,305,72,73,134,190,57,133,10,9,10,0.24,55,49,59,30,Apache2.0,RELINK
0,578,6,5,6,2,37,4,28,4,1295,172,828,146,212,453,610,123,487,20,20,27,0.26,155,132,173,60,Apache2.0,RELINK
1,0,0,0,0,0,0,0,0,0,1728,1,0,0,16,0,0,0,0,0,0,0,0.0,0,0,0,0,Apache2.0,RELINK
0,245,4,4,5,2,28,4,22,2,577,117,356,99,84,245,259,71,188,21,21,25,0.24,60,53,66,28,Apache2.0,RELINK
0,203,6,6,7,3,43,8,34,2,497,107,321,72,43,202,255,68,187,31,31,34,0.13,57,57,62,27,Apache2.0,RELINK
0,80,4,4,7,1,47,6,36,4,175,27,112,27,28,67,78,26,52,7,7,11,0.25,13,13,20,3,Apache2.0,RELINK
0,46,2,2,2,1,10,0,9,0,132,17,85,21,21,45,58,16,42,4,4,4,0.25,14,14,14,11,Apache2.0,RELINK
0,1,1,1,1,1,9,0,9,0,37,3,9,6,21,1,2,1,1,1,1,1,2.33,1,1,1,1,Apache2.0,RELINK
0,1,1,1,1,1,9,0,9,0,34,4,9,6,19,1,2,1,1,1,1,1,2.11,1,1,1,1,Apache2.0,RELINK
0,1934,42,31,50,27,232,36,139,41,5185,845,2683,267,1203,1453,2224,197,2027,318,223,371,0.45,806,586,953,526,Apache2.0,RELINK
0,35,7,7,7,4,81,16,55,23,94,21,55,8,28,25,33,8,25,7,7,7,0.51,7,7,7,4,Apache2.0,RELINK
0,189,7,6,8,4,31,4,26,1,540,107,318,86,59,185,256,63,193,30,30,33,0.19,74,64,85,50,Apache2.0,RELINK
0,119,6,5,7,3,26,3,21,2,303,52,166,85,129,60,90,20,70,18,13,18,0.78,31,26,33,17,Apache2.0,RELINK
0,673,46,32,49,18,161,22,129,10,1262,201,926,122,116,564,827,102,725,204,160,223,0.13,323,227,346,127,Apache2.0,RELINK
1,938,5,5,5,2,39,4,30,3,2045,260,1369,273,291,744,945,222,723,23,23,24,0.21,216,204,230,106,Apache2.0,RELINK
0,78,10,8,11,6,38,6,30,2,225,54,132,35,30,87,125,31,94,23,15,24,0.23,39,31,44,25,Apache2.0,RELINK
1,35,3,3,3,1,13,1,11,1,108,16,67,16,21,33,48,16,32,4,4,4,0.31,16,15,17,11,Apache2.0,RELINK
1,37,3,3,3,1,14,1,12,1,112,17,69,16,22,35,50,16,34,4,4,4,0.32,16,15,17,11,Apache2.0,RELINK
1,510,6,5,6,2,47,5,31,8,1355,159,732,128,263,388,517,107,410,27,27,30,0.36,131,119,139,54,Apache2.0,RELINK
0,377,6,6,6,3,49,7,31,10,1116,169,588,133,353,230,334,95,239,20,20,20,0.6,103,100,113,54,Apache2.0,RELINK
1,630,5,5,6,3,42,6,29,7,1573,237,939,173,329,497,649,145,504,29,29,35,0.35,160,160,201,106,Apache2.0,RELINK
0,34,3,3,3,2,24,5,19,0,98,21,58,13,16,22,31,7,24,4,4,4,0.28,9,9,9,6,Apache2.0,RELINK
0,2,1,1,1,1,5,0,5,0,33,4,9,3,15,2,4,2,2,1,1,1,1.67,2,2,2,2,Apache2.0,RELINK
0,143,8,8,9,7,77,9,48,19,377,46,206,37,120,97,131,24,107,27,26,29,0.58,33,32,35,29,Apache2.0,RELINK
1,878,17,16,23,9,128,14,82,29,1936,220,1171,139,483,557,775,120,655,125,125,168,0.41,231,228,316,133,Apache2.0,RELINK
1,833,11,10,14,5,96,9,65,23,1824,189,1186,205,454,521,694,130,564,47,45,74,0.38,189,187,247,92,Apache2.0,RELINK
1,467,6,6,7,3,38,4,26,5,1120,147,687,125,211,362,518,130,388,16,16,24,0.31,143,143,186,84,Apache2.0,RELINK
0,854,5,5,6,3,47,7,31,9,2130,339,1261,344,429,531,712,189,523,26,26,33,0.34,185,180,235,128,Apache2.0,RELINK
1,707,10,10,13,5,89,10,55,22,1888,235,1059,160,541,454,635,113,522,57,57,82,0.51,193,191,251,110,Apache2.0,RELINK
0,78,7,7,8,5,57,6,39,12,243,31,119,21,80,57,77,19,58,10,10,14,0.67,20,20,24,16,Apache2.0,RELINK
1,130,26,26,30,1,200,12,173,9,262,19,173,24,42,89,114,24,90,26,26,30,0.24,26,26,30,1,Apache2.0,RELINK
1,129,2,2,3,1,19,1,12,0,465,50,234,51,56,112,151,39,112,10,10,12,0.24,43,43,49,23,Apache2.0,RELINK
1,641,6,6,7,3,45,5,35,7,1346,186,930,126,259,1606,582,112,470,19,19,22,0.28,156,148,178,99,Apache2.0,RELINK
1,556,3,3,4,2,23,3,18,0,1420,248,944,221,75,422,575,144,431,18,18,23,0.08,181,180,197,106,Apache2.0,RELINK
0,48,2,2,2,1,9,1,8,0,207,13,62,38,124,17,24,11,13,3,3,3,2.0,7,7,7,4,Apache2.0,RELINK
1,474,4,4,5,1,33,5,23,5,1243,211,756,159,213,334,460,97,363,11,11,13,0.28,135,135,152,50,Apache2.0,RELINK
1,744,7,6,8,3,49,6,34,9,1746,234,1091,221,422,537,724,163,561,25,25,27,0.39,198,184,232,115,Apache2.0,RELINK
